Trainer,Alder,Benga,Bianca,Blaine,Blue,Brawly,Brock,Brycen,Bugsy,Burgh,Byron,Caitlin,Candice,Cheren,Cheren_Fire,Cheren_Grass,Cheren_Water,Chili,Chuck,Cilan,Clair,Clay,Colress,Cress,Cynthia,Drayden,Elesa,Erika,Falkner,Fantina,Flannery,Gardenia,Giovanni,Grimsley,Hugh_Fire,Hugh_Grass,Hugh_Water,Iris,Janine,Jasmine,Juan,Lance,Lenora,Liza,Lt.Surge,Marlon,Marshal,Maylene,Misty,Morimoto,Morty,N_Autumn,N_Spring,N_Summer,N_Winter,Nishino,Norman,Pryce,Red,Roark,Roxanne,Roxie,Sabrina,Shauntal,Skyla,Steven,Tate,Volkner,Wake,Wallace,Wattson,Whitney,Winona
Juan,10,84,51,79,75,28,98,97,40,24,89,42,96,4,57,86,81,98,13,20,58,61,12,39,10,97,62,13,66,81,71,4,62,22,46,58,45,70,0,51,0,78,19,27,37,61,6,81,10,96,4,36,58,69,75,30,6,49,11,94,33,35,10,1,42,62,72,80,55,37,7,16,45
Lance,91,39,76,99,44,64,36,55,99,96,99,100,15,83,90,84,80,100,54,98,82,89,99,83,62,96,74,96,63,94,99,97,14,85,83,89,80,80,43,47,22,0,68,99,90,65,40,38,8,98,47,19,36,100,17,18,79,40,44,99,93,97,62,33,46,99,100,90,25,25,86,75,46
Lenora,8,39,37,6,25,1,62,78,54,36,63,47,43,64,32,70,63,9,6,98,68,7,89,73,25,34,0,40,83,64,7,67,24,29,16,47,51,57,9,28,81,32,0,97,5,79,2,2,16,87,16,17,38,82,56,38,41,84,13,92,85,9,68,5,73,71,65,6,69,55,3,78,100
Liza,4,1,6,16,38,14,14,41,1,0,80,73,1,0,15,37,29,21,86,97,54,34,86,18,4,32,3,13,7,47,12,60,23,2,1,6,1,22,14,44,73,1,3,0,35,91,81,81,36,40,0,39,15,53,2,10,1,47,14,87,79,51,13,0,0,52,45,53,47,15,44,3,83
Lt.Surge,10,72,67,66,42,27,18,81,1,47,52,84,19,53,88,82,90,85,13,96,90,58,91,63,50,37,37,30,25,66,29,79,15,50,38,52,64,43,21,5,63,10,95,65,0,40,0,100,2,97,5,12,6,87,18,35,7,54,31,88,61,26,64,0,30,80,62,82,49,51,82,35,97
Marlon,5,13,83,52,38,68,77,61,56,59,54,81,48,1,63,76,63,98,99,68,82,64,44,88,39,85,42,20,49,77,69,46,63,6,41,47,27,48,8,37,39,35,21,9,60,0,95,86,15,37,7,33,20,43,18,10,36,66,29,89,3,35,16,0,5,35,80,83,45,23,38,13,75
Marshal,4,0,92,54,51,75,100,100,41,93,98,14,6,95,89,96,90,100,93,88,69,12,65,51,62,100,23,76,1,0,85,70,14,97,93,99,99,28,6,87,94,60,98,19,100,5,0,37,1,35,3,92,14,99,19,98,76,86,56,98,98,73,0,0,0,64,7,53,97,9,98,100,5
Maylene,2,8,63,8,15,5,20,90,34,35,99,27,2,97,95,99,100,55,82,94,89,20,36,9,52,70,0,13,7,0,6,35,16,38,70,86,72,44,6,57,19,62,98,19,0,14,63,0,0,67,0,54,22,45,23,67,57,50,27,96,89,17,0,0,20,91,13,0,93,1,1,100,27
Misty,13,96,88,85,93,98,96,69,56,72,98,95,91,35,95,97,98,88,100,94,88,70,90,100,69,99,95,82,44,100,87,82,93,52,84,92,91,95,43,80,90,92,84,64,98,85,99,100,0,96,38,85,96,82,85,58,26,55,68,100,88,75,56,27,93,91,91,100,82,89,50,31,91
Morimoto,0,11,15,2,26,3,1,16,26,19,14,77,0,2,5,16,13,22,61,82,22,18,30,21,10,10,0,21,22,48,18,39,3,0,2,5,3,32,10,3,4,2,13,60,3,63,65,33,4,0,48,6,0,0,8,6,0,19,3,56,26,4,20,1,17,11,79,9,25,3,0,2,35
Morty,14,45,96,68,86,97,61,94,66,58,84,100,88,19,88,92,91,97,100,100,98,77,100,95,69,93,89,80,65,94,27,83,86,32,78,83,82,93,17,88,96,53,84,100,95,93,97,100,62,52,0,58,87,64,79,41,82,98,66,100,95,35,84,3,53,100,93,70,100,71,53,53,99
N_Autumn,71,97,81,96,47,35,65,93,85,78,99,98,87,72,96,90,91,98,12,82,98,22,93,51,31,90,72,46,96,70,97,29,30,70,75,74,74,37,60,39,64,81,83,61,88,67,8,46,15,94,42,0,62,79,81,46,74,83,51,93,53,58,34,30,87,57,100,100,50,68,84,90,56
N_Spring,27,94,68,71,100,57,86,95,43,37,96,71,77,35,93,96,87,100,92,51,82,36,75,60,50,100,80,16,98,80,84,24,79,37,79,91,94,59,39,72,42,64,62,85,94,80,86,78,4,100,13,38,0,78,89,50,65,77,33,100,3,56,12,1,86,17,87,98,17,25,48,83,94
N_Summer,7,30,72,49,15,4,25,93,37,21,67,100,14,53,22,27,34,18,11,99,2,11,57,51,14,13,12,73,58,61,12,51,18,6,5,5,11,11,12,12,31,0,18,47,13,57,1,55,18,100,36,21,22,0,42,11,9,42,16,86,91,40,33,3,25,38,89,55,80,24,2,7,35
N_Winter,0,77,100,4,51,89,10,33,52,49,47,93,33,15,75,81,86,34,89,100,100,65,86,50,79,76,41,76,46,96,23,96,39,14,63,73,79,32,59,76,25,83,44,98,82,82,81,77,15,92,21,19,11,58,0,7,29,52,56,52,49,95,37,3,36,21,93,100,85,20,46,2,89
